X,Mode 1,Mode 2,Mode 3
0,0,0,0
11.25,0.329150332,0.31320074,0.555570233
22.5,0.620839573,0.593740303,0.923879533
33.75,0.842823646,0.813352641,0.98078528
45,0.972516941,0.951915024,0.707106781
56.25,1,1,0.195090322
67.5,0.929152083,0.959862267,-0.382683432
78.75,0.77675072,0.844727448,-0.831469612
90,0.569687235,0.676505178,-1
101.25,0.340730988,0.482285195,-0.831469612
112.5,0.123492669,0.290156309,-0.382683432
123.75,-0.052644752,0.124986997,0.195090322
135,-0.166857528,0.004807774,0.707106781
146.25,-0.209821106,-0.061660362,0.98078528
157.5,-0.18481984,-0.075965656,0.923879533
168.75,-0.1068694,-0.049241513,0.555570233
180,-6.98E-17,-3.32E-17,3.67545E-16
